Aishe_Code,Name,State,District,Website,Year_Of_Establishment,Location,Slug
U-0335,Yashwantrao Chavan Maharashtra Open University,Maharashtra,Nashik,"ycmou..ac.in, ycmou.digitaluniversity.ac",1989,Urban,ycmou
U-0979,SYMBIOSIS SKILLS AND PROFESSIONAL UNIVERSITY,Maharashtra,Pune,www.sspu.ac.in,2017,Urban,sspu
U-1076,DR HOMI BHABHA STATE UNIVERSITY MUMBAI,Maharashtra,Mumbai,www.hbsu.ac.in,2019,Urban,hbsu
U-1087,VIJAYBHOOMI UNIVERSITY,Maharashtra,Raigad,vijaybhoomi.edu.in,2018,Rural,vijaybhoomi
U-0329,"Symbiosis International (Deemed University), Pune",Maharashtra,Pune,www.siu.edu.in,2002,Rural,siu
U-1096,"G H RAISONI UNIVERSITY, AMRAVATI",Maharashtra,Amravati,ghru.edu.inamravati,2018,Rural,ghru1
U-1104,D Y PATIL UNIVERSITY PUNE AMBI,Maharashtra,Pune,dypatiluniversitypune.edu.in,2019,Rural,dypatiluniversitypune
U-1145,ATLAS SKILLTECH UNIVERSITY,Maharashtra,Mumbai,atlasuniversity.edu.in,2021,Urban,atlasuniversity
U-1173,D Y PATIL AGRICULTURE AND TECHNICAL UNIVERSITY,Maharashtra,Kolhapur,www.dyp-atu.org,2020,Rural,dypatu
U-1051,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NAGPUR,Maharashtra,Nagpur,aiimsnagpur.edu.in,2017,Rural,aiimsnagpur
U-1181,FLAME UNIVERSITY,Maharashtra,Pune,www.flame.edu.in,2015,Rural,flame
U-0311,"Krishna Vishwa Vidyapeeth, Karad, Maharashtra",Maharashtra,Satara,www.kvv.edu.in,1984,Rural,kvv
U-0302,"Dr. Panjabrao Deshmukh Krishi Vidyapeeth, Akola",Maharashtra,Akola,www.pdkv.ac.in,1969,Urban,pdkv
U-0296,"Deccan College Postgraduate & Research Institute, Pune",Maharashtra,Pune,www.deccancollegepune.org,1939,Urban,deccancollegepune
U-1238,MAHARASHTRA STATE SKILLS UNIVERSITY,Maharashtra,Mumbai,www.mssu.ac.in,-,Urban,mssu
U-1113,"SRI BALAJI UNIVERSITY, PUNE",Maharashtra,Pune,www.sbup.edu.in,2019,Urban,sbup
U-1246,ITM SKILLS UNIVERSITY,Maharashtra,Raigad,www.isu.ac.in,-,Urban,isu
U-1253,Dr P A Inamdar University,Maharashtra,Pune,www.drpaiu.edu.in,-,Urban,drpaiu
U-1257,COEP Technological University,Maharashtra,Pune,www.coep.org.in,-,Urban,coep
U-1258,KARMAVEER BHAURAO PATIL UNIVERSITY,Maharashtra,Satara,www.unikbp.ac.in,-,Rural,unikbp
U-1262,JSPM University,Maharashtra,Pune,www.jspmuni.ac.in,-,Urban,jspmuni
U-1275,PIMPRI CHINCHWAD UNIVERSITY,Maharashtra,Pune,www.pcu.edu.in,-,Rural,pcu
U-1278,UNIVERSAL Ai UNIVERSITY,Maharashtra,Raigad,,-,,uniaiuni
U-1283,"INDIAN INSTITUTE OF MANAGEMENT,MUMBAI",Maharashtra,Mumbai,www.iimmumbai.ac.in,-,Urban,iimmumbai
U-1085,"SOMAIYA VIDYAVIHAR UNIVERSITY, MUMBAI",Maharashtra,Mumbai,www.somaiya.edu,2019,Urban,somaiya
U-1306,DES PUNE UNIVERSITY,Maharashtra,Pune,www.despu.edu.in,-,Urban,despu
U-1307,MIT VISHWAPRAYAG UNIVERSITY,Maharashtra,Solapur,www.mitvpu.ac.in,-,Urban,mitvpu
U-1228,"NICMAR UNIVERSITY, PUNE",Maharashtra,Pune,www.nicmar.ac.inpune,-,Urban,nicmar
U-0326,"SMT. NATHIBAI DAMODAR THACKERSEY WOMEN'S UNIVERSITY, MUMBAI",Maharashtra,Mumbai Suburban,www.sndt.ac.in,1916,Urban,sndt
U-1325,Laxminarayan Innovation Technological (LIT) University,Maharashtra,Nagpur,litu.edu.in,-,Urban,litu
U-0319,"SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES (DEEMED UNIVERSITY), MUMBAI (SVKMs NMIMS)",Maharashtra,Mumbai,www.nmims.edu,1981,Urban,nmims
U-1336,Ramdeobaba University,Maharashtra,Nagpur,,-,Urban,ramuni
U-1355,Sanjivani University,Maharashtra,Ahmednagar,www.sanjivani.edu.in,-,Rural,sanjivani
U-0295,Datta Meghe Institute of Higher Education & Research (Deemed to be University),Maharashtra,Nagpur,www.dmiher.edu.in,1990,Rural,dmiher
U-1381,Dr. D.Y. Patil Dnyan Prasad University,Maharashtra,Pune,www.dypdpu.edu.in,-,Urban,dypdpu
U-1387,Alard University,Maharashtra,Pune,,-,Urban,alauni
U-1393,Indira University,Maharashtra,Pune,www.indirauniversity.edu.in,-,Urban,indirauniversity
U-1400,SVKM NMIMS Global University,Maharashtra,Dhule,,-,Urban,svknmiglo
U-1058,DHANAMANJURI UNIVERSITY,Manipur,Imphal West,dmu.ac.in,-,Urban,dmu
U-1235,ASIAN INTERNATIONAL UNIVERSITY,Manipur,Imphal West,www.aiu.edu.in,-,Urban,aiu
U-1217,MANIPUR INTERNATIONAL UNIVERSITY,Manipur,Imphal West,miu.edu.in,2018,Rural,miu
U-0881,MANIPUR TECHNICAL UNIVERSITY,Manipur,Imphal West,mtu.ac.in,2016,Rural,mtu
U-0613,National Institute of Technology Manipur,Manipur,Imphal West,www.nitmanipur.ac.in,2010,Urban,nitmanipur
U-0770,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI",Manipur,Senapati,www.iiitmanipur.ac.in,2014,Rural,iiitmanipur
U-0336,"Central Agricultural University, Imphal",Manipur,Imphal West,www.cau.ac.in,1993,Urban,cau
U-1083,BIR TIKENDRAJIT UNIVERSITY,Manipur,Thoubal,www.birtikendrajituniversity.ac.in,2020,Rural,birtikendrajituniversity
U-1289,KHONGNANGTHABA UNIVERSITY,Manipur,Imphal East,www.khongnangthabauniversity.org,-,Rural,khongnangthabauniversity
U-0985,MANIPUR UNIVERSITY OF CULTURE,Manipur,Imphal East,www.muc.ac.in,2015,Urban,muc
U-1026,NATIONAL SPORTS UNIVERSITY,Manipur,Imphal West,www.nsu.ac.in,2018,Urban,nsu
U-0337,"Manipur University, Imphal",Manipur,Imphal West,www.manipuruniv.ac.in,1980,Rural,manipuruniv
U-0339,"Mahatma Gandhi University, Tura, West Garo Hills",Meghalaya,Ri Bhoi,www.mgu.edu.in,2010,Rural,mgu1
U-0341,"North Eastern Hill University, Shillong",Meghalaya,East Khasi Hills,www.nehu.ac.in,1973,Urban,nehu
U-1305,NATIONAL LAW UNIVERSITY OF MEGHALAYA,Meghalaya,East Khasi Hills,www.nlumeg.ac.in,-,Urban,nlumeg
U-0343,"Institute of Chartered Financial Analysts of India University, Meghalaya",Meghalaya,West Garo Hills,www.iumeghalaya.edu.in,2005,Urban,iumeghalaya
U-0639,UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meghalaya,Ri Bhoi,www.ustm.ac.in,2011,Rural,ustm
U-0619,National Institute of Technology Meghalaya,Meghalaya,East Khasi Hills,www.nitm.ac.in,2010,Rural,nitm
U-0628,"William Carey University, Shillong",Meghalaya,East Khasi Hills,www.williamcareyuniversity.ac.in,2005,Urban,williamcareyuniversity
U-1138,NORTH EAST ADVENTIST UNIVERSITY,Meghalaya,West Jaintia Hills,www.neauniversity.in,2020,Rural,neauniversity
U-0605,"Maharashtra Institute of Technology University, of Meghalaya",Meghalaya,East Khasi Hills,mituniversityindia.edu.in,2011,Urban,mituniversityindia
U-1011,"INDIAN INSTITUTE OF MANAGEMENT, SHILLONG",Meghalaya,East Khasi Hills,www.iimshillong.ac.in,2007,Rural,iimshillong
U-0340,"Martin Luther Christian University, Shillong",Meghalaya,East Khasi Hills,www.mlcuniv.in,2005,Urban,mlcuniv
U-0942,CMJ University,Meghalaya,Ri Bhoi,www.cmjumeghalaya.edu.in,2009,Rural,cmjumeghalaya
U-0617,National Institute of Technology Mizoram,Mizoram,Aizawl,www.nitmz.ac.in,2010,Urban,nitmz
U-0345,"Mizoram University, Aizwal",Mizoram,Aizawl,www.mzu.edu.in,2001,Rural,mzu
U-0346,"The Institute of Chartered Financial Analysts of India University, Aizawl",Mizoram,Aizawl,www.iumizoram.edu.in,2006,Urban,iumizoram
U-0884,"ST. JOSEPH UNIVERSITY, DIMAPUR",Nagaland,Dimapur,www.stjosephuniv.edu.in,2016,Rural,stjosephuniv
U-0347,Nagaland University,Nagaland,Zunheboto,www.nagalanduniversity.ac.in,1994,Rural,nagalanduniversity
U-1195,NORTH EAST CHRISTIAN UNIVERSITY,Nagaland,Dimapur,www.necu.ac.in,2013,Urban,necu
U-0348,"The Global Open University Nagaland, Dimapur",Nagaland,Dimapur,www.nagaland.net.in,2006,Rural,nagaland
U-0349,"The Institute of Chartered Financial Analysts of India University, Dimapur",Nagaland,Dimapur,www.iunagaland.edu.in,2007,Rural,iunagaland
U-0618,National Institute of Technology Nagaland,Nagaland,Dimapur,www.nitnagaland.ac.in,2009,Rural,nitnagaland
U-0357,"National Institute of Technology, Rourkela",Odisha,Sundargarh,www.nitrkl.ac.in,1961,Urban,nitrkl
U-0359,Maharaja Sriram Chandra Bhanja Deo University,Odisha,Mayurbhanj,www.nou.nic.in,1998,Urban,nou1
U-1279,ODIA UNIVERSITY,Odisha,Puri,odiauniversity.ac.in,-,Rural,odiauniversity
U-1296,VEER SURENDRA SAI INSTITUTE OF MEDICAL SCIENCES  AND RESEARCH,Odisha,Sambalpur,vimsar.ac.in,-,Urban,vimsar
U-1002,INDIAN INSTITUTE OF MANAGEMENT SAMBALPUR,Odisha,Sambalpur,www.iimsambalpur.ac.in,2015,Rural,iimsambalpur
U-1280,VIKRAM DEV UNIVERSITY,Odisha,Koraput,www.vikramdevuniversity.ac.in,-,Urban,vikramdevuniversity
U-0688,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR",Odisha,Khordha,www.aiimsbhubaneswar.edu.in,2012,Urban,aiimsbhubaneswar
U-0355,"Indian Institute of Technology, Bhubaneshwar",Odisha,Khordha,www.iitbbs.ac.in,2008,Rural,iitbbs
U-1071,"GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY UNIVERSITY, ODISHA, GUNUPUR (GIET UNIVERSITY)",Odisha,Rayagada,www.giet.edu,1997,Rural,giet
U-1020,BIRLA GLOBAL UNIVERSITY,Odisha,Khordha,www.bgu.ac.in,2013,Urban,bgu
U-0360,"Orissa University of Agriculture &  Technology, Bhubaneswar",Odisha,Khordha,ouat.ac.in,1962,Urban,ouat
U-0649,SRI SRI UNIVERSITY,Odisha,Cuttack,www.srisriuniversity.edu.in,2009,Rural,srisriuniversity
U-0838,"RAMA DEVI WOMEN'S UNIVERSITY, BHUBANESWAR",Odisha,Khordha,www.rdwu.ac.in,2015,Urban,rdwu
U-0828,"Indian Institute of Science Education & Research (IISER), Berhampur",Odisha,Ganjam,www.iiserbpr.ac.in,2016,Rural,iiserbpr
U-0852,GANGADHAR MEHER UNIVERSITY,Odisha,Sambalpur,www.gmuniversity.ac.in,2015,Urban,gmuniversity
U-1396,NIST University,Odisha,Ganjam,www.nist.edu,-,Rural,nist
U-1032,INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY BHUBANESHWAR,Odisha,Khordha,www.iiit-bh.ac.in,2007,Urban,iiitbh1
U-1033,KALINGA INSTITUTE OF SOCIAL SCIENCES (KISS) DEEMED TO BE UNIVERSITY,Odisha,Khordha,university.kiss.ac.in,2017,Urban,university1
U-1239,ODISHA UNIVERSITY OF TECHNOLOGY AND RESEARCH,Odisha,Khordha,www.outr.ac.in,-,Urban,outr
U-1320,Khallikote Unitary University,Odisha,Ganjam,www.kuu.ac.in,-,Urban,kuu
U-0352,"Central University of Orissa, Koraput",Odisha,Koraput,www.cuo.ac.in,2009,Rural,cuo
U-0367,"Veer Surendra Sai University of Technology, Sambalpur",Odisha,Sambalpur,www.vssut.ac.in,1956,Urban,vssut
U-1298,DRIEMS UNIVERSITY,Odisha,Cuttack,www.driems.ac.in,-,Rural,driems
U-0363,Siksha 'O' Anusandhan,Odisha,Khordha,www.soa.ac.in,1996,Urban,soa
U-1299,ODISHA UNIVERSITY OF HEALTH SCIENCES,Odisha,Khordha,www.ouhs.ac.in,-,Urban,ouhs
U-0366,"Utkal University, Bhubaneswar",Odisha,Khordha,www.utkal-university.org,1943,Urban,utkaluniversity
U-0365,"Utkal University of Culture, Bhubaneswar",Odisha,Khordha,www.uuc.ac.in,1999,Urban,uuc
U-0364,"Shri Jagannath Sanskrit Vishwavidyalaya, Puri",Odisha,Puri,www.sjsv.nic.in,1981,Urban,sjsv
U-0362,"Sambalpur University, Sambalpur",Odisha,Sambalpur,www.suniv.ac.in,1967,Urban,suniv
U-0361,"Ravenshaw University, Cuttak",Odisha,Cuttack,www.ravenshawunivesity .ac.in,1868,Urban,ravenshawunivesity
U-0354,"Fakir Mohan University, Balasore",Odisha,Baleshwar,fmuniversity.nic.in,1999,Rural,fmuniversity
U-0353,Centurion University of Technology and Management,Odisha,Gajapati,www.cutm.ac.in,2010,Rural,cutm
U-0351,"Biju Patnaik University of Technology, Rourkela",Odisha,Sundargarh,www.bput.ac.in,2002,Urban,bput
U-1080,"C.V. RAMAN GLOBAL UNIVERSITY, ODISHA",Odisha,Khordha,cgu-odisha.ac.in,2020,Rural,cguodisha
U-0350,"Berhampur University, Berhampur",Odisha,Ganjam,www.buodisha.edu.in,1967,Rural,buodisha
U-0356,"Kalinga Institute of Industrial Technology, Bhubaneswar",Odisha,Khordha,www.kiit.ac.in,1997,Urban,kiit
U-0932,Odisha State Open University,Odisha,Sambalpur,www.osou.ac.in,2015,Urban,osou
U-1397,Dharanidhar University,Odisha,Kendujhar,,-,Urban,dhauni
U-1184,MADHUSUDAN LAW UNIVERSITY,Odisha,Cuttack,www.mlu.ac.in,2021,Urban,mlu
U-1176,RAJENDRA UNIVERSITY,Odisha,Balangir,www.rajendrauniversity.ac.in,2020,Urban,rajendrauniversity
U-1338,Silicon University,Odisha,Khordha,www.silicon.ac.in,-,Urban,silicon
U-1062,AIPH UNIVERSITY,Odisha,Khordha,www.aiph.ac.in,2008,Urban,aiph
U-0358,"National Law University, Cuttuck",Odisha,Cuttack,www.nluo.ac.in,2008,Urban,nluo
U-0715,"XIM UNIVERSITY, BHUBANESWAR",Odisha,Puri,www.xim.edu.in,1987,Urban,xim
U-1110,ASBM UNIVERSITY,Odisha,Khordha,www.asbm.ac.in,2019,Rural,asbm
U-1155,KALAHANDI UNIVERSITY,Odisha,Kalahandi,kalahandiuniversity.ac.in,1960,Urban,kalahandiuniversity
U-0368,"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry",Puducherry,Pondicherry,www.jipmer.edu.in,1823,Urban,jipmer
U-0370,Sri Balaji Vidyapeeth (Deemed to be University),Puducherry,Pondicherry,sbvu.ac.in,2001,Rural,sbvu
U-1245,"Puducherry Technological University, Puducherry",Puducherry,Pondicherry,www.ptuniv.edu.in,-,Urban,ptuniv
U-0621,National Institute of Technology Puducherry,Puducherry,Karaikal,www.nitpy.ac.in,2010,Rural,nitpy
U-0369,"Pondicherry Univeristy, Puducherry",Puducherry,Pondicherry,www.pondiuni.edu.in,1985,Urban,pondiuni
U-0892,"CT University, Ludhiana",Punjab,Ludhiana,www.ctuniversity.in,2016,Rural,ctuniversity
U-1186,AMITY UNIVERSITY,Punjab,S.A.S Nagar,www.amity.edumohali,2021,Rural,amity7
U-0822,RIMT UNIVERSITY,Punjab,Fatehgarh Sahib,rimt.ac.in,2015,Urban,rimt
U-0377,"Indian Institute of Science Education & Research (IISER), Mohali",Punjab,S.A.S Nagar,www.iisermohali.ac.in,2007,Urban,iisermohali
U-0811,"MAHARAJA RANJIT SINGH PUNJAB TECHNICAL UNIVERSITY, BATHINDA",Punjab,Bathinda,www.mrsptu.ac.in,2015,Urban,mrsptu
U-0380,"National Institute of Pharmaceutical, Educational and Research, Mohali",Punjab,S.A.S Nagar,www.niper.gov.in,1994,Urban,niper
U-0378,"Indian Institute of Technology, Ropar",Punjab,Rupnagar,www.iitrpr.ac.in,2008,Urban,iitrpr
U-0606,"Sri Guru Granth Sahib World University, Fatehgarh Sahib",Punjab,Fatehgarh Sahib,www.sggswu.edu.in,2008,Urban,sggswu
U-0379,Lovely Professional University,Punjab,Kapurthala,www.lpu.in,2005,Rural,lpu
U-0879,"AKAL UNIVERSITY,BHATINDA",Punjab,Bathinda,www.auts.ac.in,2015,Rural,auts
U-0653,GURU KASHI UNIVERSITY,Punjab,Bathinda,www.gku.ac.in,2011,Rural,gku
U-0769,RAYAT BAHRA UNIVERSITY,Punjab,S.A.S Nagar,www.rayatbahrauniversity.edu.in,2005,Rural,rayatbahrauniversity
U-0684,DESH BHAGAT UNIVERSITY,Punjab,Fatehgarh Sahib,www.deshbhagatuniversity.in,1996,Rural,deshbhagatuniversity
U-1100,THE MAHARAJA BHUPINDER SINGH PUNJAB SPORTS UNIVERSITY,Punjab,Patiala,mbspsu.ac.in,2019,Urban,mbspsu
U-0384,"Sant Longowal Institute of Engg. & Tech., Longowal",Punjab,Sangrur,www.sliet.ac.in,1989,Rural,sliet
U-0371,"Baba Farid University of Health Sciences, Faridkot",Punjab,Faridkot,www.bfuhs.ac.in,1998,Rural,bfuhs
U-0383,"Punjabi University, Patiala",Punjab,Patiala,www.punjabiuniversity.ac.in,1962,Urban,punjabiuniversity
U-0382,"I K Gujral Punjab Technical University, Jalandhar",Punjab,Kapurthala,www.ptu.ac.in,1997,Rural,ptu
U-0381,"Punjab Agricultural University, Ludhiana",Punjab,Ludhiana,www.pau.edu,1962,Urban,pau
U-0376,"Guru Nanak Dev University, Amritsar",Punjab,Amritsar,www.gndu.ac.in,1969,Urban,gndu
U-0375,"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana",Punjab,Ludhiana,www.gadvasu.in,2005,Urban,gadvasu
U-0374,"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar",Punjab,Jalandhar,www.nitj.ac.in,1987,Urban,nitj
U-1114,"ALL INDIA INSTITUTE OF MEDICAL SCIENCE, BATHINDA",Punjab,Bathinda,aiimsbathinda.edu.in,2019,Rural,aiimsbathinda
U-0372,"Central University of Punjab, Bathhinda",Punjab,Bathinda,www.cup.edu.in,2009,Rural,cup
U-0373,"Chitkara University, Patiala",Punjab,Patiala,www.chitkara.edu.in,2010,Rural,chitkara
U-0776,DAV University,Punjab,Jalandhar,www.davuniversity.org,2013,Rural,davuniversity
U-1170,PLAKSHA UNIVERSITY,Punjab,S.A.S Nagar,www.plaksha.edu.in,2021,Urban,plaksha
U-1001,INDIAN INSTITUTE OF MANAGEMENT AMRITSAR,Punjab,Amritsar,www.iimamritsar.ac.in,2015,Rural,iimamritsar
U-0660,GURU RAVIDAS AYURVED UNIVERSITY,Punjab,Hoshiarpur,www.graupunjab.org,2011,Rural,graupunjab
U-0789,GNA UNIVERSITY,Punjab,Kapurthala,www.gnauniversity.edu.in,2014,Rural,gnauniversity
U-1139,Shaheed Bhagat Singh State University,Punjab,Ferozepur,www.sbssu.ac.in,2021,Rural,sbssu
U-1199,LAMRIN TECH SKILLS UNIVERSITY PUNJAB,Punjab,Shahid Bhagat Singh Nagar,ltsu.ac.in,2021,Rural,ltsu
U-0736,ADESH UNIVERSITY,Punjab,Bathinda,www.adeshuniversity.ac.in ,2012,Rural,adeshuniversity
U-0385,"Thapar Institute of Engineering and Technology, Patiala",Punjab,Patiala,www.thapar.edu,1956,Urban,thapar
U-0747,CHANDIGARH UNIVERSITY,Punjab,S.A.S Nagar,www.cuchd.in,2012,Rural,cuchd
U-1133,Sardar Beant Singh State University Gurdaspur,Punjab,Gurdaspur,www.sbssugsp.ac.in,2021,Rural,sbssugsp
U-1394,National  Institute of Electronics and Information Technology NIELIT,Punjab,Rupnagar,,-,Rural,natinsof1
U-0386,"Rajiv Gandhi National University of Law, Punjab",Punjab,Patiala,www.rgnul.ac.in,2006,Rural,rgnul
U-0900,SANT BABA BHAG SINGH UNIVERSITY,Punjab,Jalandhar,www.sbbsuniversity.ac.in,2015,Rural,sbbsuniversity
U-1183,JAGAT GURU NANAK DEV PUNJAB STATE OPEN UNIVERSITY,Punjab,Patiala,www.psou.ac.in,2019,Urban,psou
U-0913,Sri Guru Ram Das University of Health Sciences,Punjab,Amritsar,www.sgrduhs.in,2016,Rural,sgrduhs
U-0424,"Shridhar University,  Pilani",Rajasthan,Jhunjhunu,www.shridharuniversity.ac.in,2009,Rural,shridharuniversity
U-1190,RAJASTHAN AYURVEDIC NURSING COUNCIL,Rajasthan,Jaipur,,2012,Urban,rajayunur
U-1112,DR BHIMRAO AMBEDKAR LAW UNIVERSITY,Rajasthan,Jaipur,www.alujaipur.ac.in,2019,Urban,alujaipur
U-1115,SHRI KALLAJI VEDIC VISHVAVIDYALAYA,Rajasthan,Chittorgarh,skvv.ac.in,2018,Rural,skvv
U-0394,"IIS (Deemed to be University), Jaipur",Rajasthan,Jaipur,www.iisuniv.ac.in,1995,Urban,iisuniv
U-0741,JECRC UNIVERSITY,Rajasthan,Jaipur,www.jecrcuniversity.edu.in,2012,Urban,jecrcuniversity
U-0692,"MAULANA AZAD UNIVERSITY, JODHPUR",Rajasthan,Jodhpur,www.mauj.ac.in,2013,Rural,mauj
U-0410,"Malviya National Institute of Technology, Jaipur",Rajasthan,Jaipur,www.mnit.ac.in,1963,Urban,mnit
U-0851,IIHMR UNIVERSITY,Rajasthan,Jaipur,www.iihmr.edu.in,1984,Urban,iihmr
U-0689,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR",Rajasthan,Jodhpur,www.aiimsjodhpur.edu.in,2012,Urban,aiimsjodhpur
U-0703,"AGRICULTURE UNIVERSITY, JODHPUR",Rajasthan,Jodhpur,www.aujodhpur.ac.in,2013,Urban,aujodhpur
U-0704,"AGRICULTURE UNIVERSITY, KOTA",Rajasthan,Kota,www.aukota.org,2013,Urban,aukota
U-0758,PACIFIC MEDICAL UNIVERSITY,Rajasthan,Udaipur,www.pacificmedicaluniversity.ac.in,2014,Rural,pacificmedicaluniversity
U-0679,"SARDAR PATEL UNIVERSITY OF POLICE, SECURITY AND CRIMINAL JUSTICE",Rajasthan,Jodhpur,www.policeuniversity.ac.in,2012,Urban,policeuniversity
U-0749,"MANIPAL UNIVERSITY, JAIPUR",Rajasthan,Jaipur,www.jaipur.manipal.edu,2011,Rural,jaipur
U-0418,"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur",Rajasthan,Jodhpur,department.rajasthan.gov.inhomedptHome221,2003,Urban,department
U-0732,"MAHATMA GANDHI UNIVERSITY OF MEDICAL SCIENCES AND TECHNOLOGY, JAIPUR",Rajasthan,Jaipur,www.mgumst.org,2001,Urban,mgumst
U-0705,"SKN AGRICULTURE UNIVERSITY, JOBNER",Rajasthan,Jaipur,www.sknau.ac.in,2013,Rural,sknau
U-0709,"TANTIA UNIVERSITY, SRI GANGANAGAR",Rajasthan,Ganganagar,www.tantiauniversity.com,2013,Rural,tantiauniversity
U-0816,PRATAP UNIVERSITY,Rajasthan,Jaipur,www.pratapuniversity.in,2011,Rural,pratapuniversity
U-0949,Bhartiya Skill Development Univesity,Rajasthan,Jaipur,www.ruj-bsdu.in,2016,Rural,rujbsdu
U-1031,LORDS UNIVERSITY,Rajasthan,Alwar,www.lordsuni.edu.in,2018,Rural,lordsuni
U-0752,POORNIMA UNIVERSITY,Rajasthan,Jaipur,www.poornima.edu.in,2012,Rural,poornima
U-0748,VIVEKANANDA GLOBAL UNIVERSITY,Rajasthan,Jaipur,www.vgu.ac.in,2012,Rural,vgu
U-0746,GEETANJALI UNIVERSITY,Rajasthan,Udaipur,www.geetanjaliuniversity.com,2011,Rural,geetanjaliuniversity
U-0607,"Homoeopathy University, Jaipur",Rajasthan,Jaipur,www.homoeopathyuniversity.org   & www.homoeopathyuniversity.com,2009,Urban,homoeopathyuniversity
U-0417,"Swami Keshwanand Rajasthan Agricultural University, Bikaner",Rajasthan,Bikaner,www.raubikaner.org,1987,Urban,raubikaner
U-0404,"Jayoti Vidyapeeth Women's University, Jaipur",Rajasthan,Jaipur,www.jvwu.ac.in,2008,Rural,jvwu
U-0640,RAFFLES UNIVERSITY,Rajasthan,Alwar,rafflesuniversity.edu.in,2011,Rural,rafflesuniversity
U-0814,RAJ RISHI BHARTRIHARI MATSYA UNIVERSITY,Rajasthan,Alwar,www.rrbmuniv.ac.in,2012,Rural,rrbmuniv
U-0388,"Amity University Rajasthan, Jaipur",Rajasthan,Jaipur,www.amity.edujaipur,2007,Rural,amity8
U-0925,Career Point University,Rajasthan,Kota,www.cpur.in,2012,Rural,cpur
U-0799,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA",Rajasthan,Kota,www.iiitkota.ac.in,2013,Urban,iiitkota
U-0415,"Nims University Rajasthan, Jaipur",Rajasthan,Jaipur,www.nimsuniversity.org,2008,Rural,nimsuniversity
U-0965,"MAHARAJ VINAYAK GLOBAL UNIVERSITY, JAIPUR",Rajasthan,Jaipur,www.mvgu.ac.in,2012,Rural,mvgu
U-0422,University of Rajasthan,Rajasthan,Jaipur,www.uniraj.ac.in,1947,Urban,uniraj
U-0391,"Birla Institute of Technology & Sciences, Pilani",Rajasthan,Jhunjhunu,www.bits-pilani.ac.in,1964,Rural,bitspilani
U-0402,"Janardan Rai Nagar Rajasthan Vidyapeeth,  Udaipur",Rajasthan,Udaipur,www.jrnrvu.edu.in,1937,Urban,jrnrvu
U-0397,"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur",Rajasthan,Jaipur,www.jrrsanskrituniversity.ac.in,1998,Urban,jrrsanskrituniversity
U-0401,"Jaipur National University, Jaipur",Rajasthan,Jaipur,www.jnujaipur.ac.in,2002,Urban,jnujaipur
U-1359,"National Institute of Ayurveda, Rajasthan",Rajasthan,Jaipur,www.nia.nic.in,-,Urban,nia
U-1059,Haridev Joshi University of Journalism & Mass Communication,Rajasthan,Jaipur,www.hju.ac.in,2019,Urban,hju
U-0657,JK LAKSHMIPAT UNIVERSITY,Rajasthan,Jaipur,www.jklu.edu.in,2011,Rural,jklu
U-0412,Mody University of Science and Technology,Rajasthan,Sikar,www.modyuniversity.ac.in,2004,Rural,modyuniversity
U-0423,"Shri Jagdish Prasad Jhabarmal Tibrewala University, Jhunjhunu",Rajasthan,Jhunjhunu,www.jjtu.ac.in,2009,Rural,jjtu
U-0693,"SANGAM UNIVERSITY, BHILWARA",Rajasthan,Bhilwara,www.sangamuniversity.ac.in,2012,Rural,sangamuniversity
U-0426,"Sir Padampat Singhania University, Udaipur",Rajasthan,Udaipur,www.spsu.ac.in,2007,Rural,spsu
U-0389,Banasthali Vidyapith,Rajasthan,Tonk,www.banasthali.org,1935,Rural,banasthali
U-0991,BIKANER TECHNICAL UNIVERSITY,Rajasthan,Bikaner,www.btu.ac.in,2018,Urban,btu
U-1029,SHYAM UNIVERSITY,Rajasthan,Dausa,www.shyamuniversity.in,2018,Rural,shyamuniversity
U-0833,NIIT UNIVERSITY,Rajasthan,Alwar,www.niituniversity.in,2009,Rural,niituniversity
U-0428,"Vardhman Mahaveer Open University, Kota",Rajasthan,Kota,www.vmou.ac.in,1987,Urban,vmou
U-0836,BHUPAL NOBLES' UNIVERSITY,Rajasthan,Udaipur,www.bnuniversity.ac.in,2015,Urban,bnuniversity
U-0874,University of Technology,Rajasthan,Jaipur,www.uot.edu.in,2017,Rural,uot
U-1010,INDIAN INSTITUTE OF MANAGEMENT UDAIPUR,Rajasthan,Udaipur,www.iimu.ac.in,2010,Urban,iimu
