Aishe_Code,Name,State,District,Website,Year_Of_Establishment,Location,Slug
U-0199,"Sher-e-Kashmir University of Agricultural Science & Technology of Jammu, Jammu",Jammu and Kashmir,Jammu,www.skuast.org,1999,Urban,skuast
U-1152,"ALL INDIA INSTITUTE OF MEDICAL SCIENCE, JAMMU",Jammu and Kashmir,Samba,www.aiimsjammu.edu.in,2019,Rural,aiimsjammu
U-0631,CENTRAL UNIVERSITY OF JAMMU,Jammu and Kashmir,Samba,www.cujammu.ac.in,2011,Rural,cujammu
U-0195,"University of Jammu, Jammu Tawi",Jammu and Kashmir,Jammu,www.jammuuniversity.ac.in,1969,Urban,jammuuniversity
U-0196,"University of Kashmir, Srinagar",Jammu and Kashmir,Srinagar,www.kashmiruniversity.net,1948,Urban,kashmiruniversity
U-0909,Cluster University Srinagar,Jammu and Kashmir,Srinagar,cusrinagar.edu.in,2017,Urban,cusrinagar
U-0926,Cluster University of Jammu,Jammu and Kashmir,Jammu,www.clujammu.in,2016,Urban,clujammu
U-1004,"INDIAN INSTITUTE OF MANAGEMENT, JAMMU AND KASHMIR",Jammu and Kashmir,Jammu,www.iimj.ac.in,2016,Urban,iimj
U-0198,"Sher-e-Kashmir Institute of Medical Sciences, Srinagar",Jammu and Kashmir,Srinagar,skims.ac.in,1982,Urban,skims
U-0197,"National Institute of Technology, Srinagar",Jammu and Kashmir,Srinagar,www.nitsri.ac.in,1960,Urban,nitsri
U-0194,"Islamic University of Science & Technology, Pulwama",Jammu and Kashmir,Pulwama,www.iust.ac.in,2005,Urban,iust
U-0200,"Sher-e-Kashmir University of Agricultural Science & Technology of Kashmir, Srinagar",Jammu and Kashmir,Srinagar,www.skuastkashmir.ac.in,1982,Urban,skuastkashmir
U-0762,JHARKHAND RAI UNIVERSITY,Jharkhand,Ranchi,www.jru.edu.in,2012,Rural,jru
U-0850,AISECT UNIVERSITY,Jharkhand,Hazaribagh,www.aisectuniversityjharkhand.ac.in,2016,Rural,aisectuniversityjharkhand
U-0210,"Sido Kanhu Murmu University, Dumka",Jharkhand,Dumka,www.skmu.ac.in,1992,Rural,skmu
U-1060,CAPITAL UNIVERSITY,Jharkhand,Koderma,www.capitaluniversity.edu.in,2018,Rural,capitaluniversity
U-0860,JHARKHAND RAKSHA SHAKTI UNIVERSITY,Jharkhand,Ranchi,www.jrsuranchi.com,2016,Urban,jrsuranchi
U-1233,SRINATH UNIVERSITY,Jharkhand,Saraikela Kharsawan,srinathuniversity.ac.in,2021,Urban,srinathuniversity
U-0875,"AMITY UNIVERSITY,JHARKHAND",Jharkhand,Ranchi,www.amity.eduranchi,2016,Urban,amity3
U-0206,"Kolhan University,  West Singhbhum",Jharkhand,West Singhbhum,www.kolhanuniversity.ac.in,2009,Rural,kolhanuniversity
U-0203,"Birsa Agricultural University, Ranchi",Jharkhand,Ranchi,www.bauranchi.org,1955,Rural,bauranchi
